id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"7577546","2011-09-28 01:58:38","12","3979","Using pandas, how do I subsample a large DataFrame by group in an efficient manner?","1","0","0","Uri Laserson","2391","HYRY","94893"
"7766400","2011-10-14 10:33:54","3","1338","Pandas + Django + mod_wsgi + virtualenv","1","2","0","Evan Davey","430","",""
"8270129","2011-11-25 13:55:02","1","928","Pandas Panel for share portfolio","1","0","","Evan Davey","430","Wes McKinney","101627"
"8451327","2011-12-09 20:27:24","2","5034","Python map() function output into Pandas DataFrame","1","0","0","briant57","21","",""
"8914992","2012-01-18 18:00:16","4","1051","indexing several csv files with pandas from records?","1","1","0","","","Wes McKinney","101627"
"8957175","2012-01-21 22:12:10","1","1307","DataFrame to Panel indexed by nonunique column with Pandas","1","3","","Jessica Collins","220","Wes McKinney","101627"
"9189425","2012-02-08 07:42:11","2","2644","Pandas DataFrame serialization","1","0","","rezusr","63","Wes McKinney","101627"
"9421412","2012-02-23 21:14:19","2","5541","Initializing pandas dataframes with and without index,columns yields different results","1","0","0","benjaminmgross","2052","Wes McKinney","101627"
"9516422","2012-03-01 12:40:33","2","1318","nan, floats and ints","1","0","","Jose Blanca","105","Wes McKinney","101627"
"9556892","2012-03-04 16:58:45","7","7849","Pandas DataFrame - desired index has duplicate values","1","0","0","kavu","199","Wes McKinney","101627"
"9597681","2012-03-07 07:56:37","5","6301","read_csv converters for unknown columns","1","0","","Jose Blanca","105","Wes McKinney","101627"
"9647656","2012-03-10 15:35:26","3","1349","Pandas dataframe in mixed mode can't serialize to hdf5?","1","0","","David van Coevorden","85","",""
"9723000","2012-03-15 15:33:47","6","1383","How do I tell pandas to parse a particular column as a datetime object, but not make it an index?","1","0","0","Uri Laserson","2391","Wes McKinney","101627"
"9762193","2012-03-18 20:51:48","4","3541","Pandas rolling median for duplicate time series data","1","0","0","Aaron","43","Wes McKinney","101627"
"9794697","2012-03-20 20:49:24","1","1562","Best way to construct a pandas.DataFrame composed of different chunks","1","0","0","saroele","9491","Wes McKinney","101627"
"9851018","2012-03-24 10:35:14","1","219","What extra data is stored in Series and DataFrame objects?","1","0","","user1289813","11","",""
"9892044","2012-03-27 14:54:46","3","1070","Pandas Date converter","1","0","","Fernando Mourão","31","",""
"9941288","2012-03-30 10:30:59","1","442","pandas: Change one Series by using a second one with the same index","1","0","","Einar","4729","eumiro","207481"
"9943848","2012-03-30 13:22:40","2","6358","Forecasting using Pandas OLS","1","1","0","Turukawa","155","Chang She","16692"
"9962114","2012-04-01 05:25:20","15","28930","Control Charts in Python","1","0","0","John","41211","Josh Hemann","940"
"9962822","2012-04-01 07:56:42","8","9299","Pandas pivot_table on date","1","1","0","John","41211","Wes McKinney","101627"
"10002181","2012-04-03 22:10:49","1","735","What python's Pandas data struts used for?","1","0","","Merlin","24602","Wes McKinney","101627"
"10017938","2012-04-04 19:27:14","2","1937","How to index with a list of values with only one label in a Pandas MultiIndex","1","0","0","John Cornwell","359","LmW.","1364"
"10027719","2012-04-05 11:28:00","0","919","Installing Pandas with Python 2.5 on Windows","1","0","","JamesS","310","Wes McKinney","101627"
"10130734","2012-04-12 19:51:25","3","3927","Best way to insert a new value","1","0","0","geronimo","1277","",""
"10133021","2012-04-12 22:56:34","4","2103","Multiindex from array in Pandas with non unique data","1","0","0","elyase","39559","Wes McKinney","101627"
"10145025","2012-04-13 16:52:55","3","1197","Pandas: index data by a histogram result","1","0","0","Rafael S. Calsaverini","13602","Wes McKinney","101627"
"10145224","2012-04-13 17:08:02","9","5785","Pandas: trouble understanding how merge works","1","0","0","Rafael S. Calsaverini","13602","Avaris","35933"
"10158060","2012-04-14 23:00:05","3","4045","How to create high low open close chart with pandas","1","0","0","SlyFly","31","",""
"10194482","2012-04-17 15:45:10","13","32022","custom matplotlib plot : chess board like table with colored cells","1","3","0","Abhi","6075","Joe Kington","275588"
"10198295","2012-04-17 20:03:13","4","1861","Returning the last valid (non-null) value from a pandas DataFrame","1","0","","bzyueshen","41","",""
"10214692","2012-04-18 17:28:36","3","3730","pip install numpy pandas fails?","1","2","0","sebas","31","",""
"10215259","2012-04-18 18:04:04","5","2728","pandas aggregated data to a numpy array : data structure conversion","1","0","0","Abhi","6075","Wes McKinney","101627"
"10422438","2012-05-02 22:12:45","2","3101","Check if HDF5 Store object is empty?","1","0","","nitin","7242","bmu","35149"
"10475488","2012-05-07 00:38:47","8","4685","Calculating crossing (intercept) points of a Series or DataFrame","1","1","0","dailyglen","705","dailyglen","705"
"10532501","2012-05-10 10:53:48","2","2981","Convert interval datetime values to any-frequency time series","1","3","0","Olexiy Strashko","73","eumiro","207481"
"10575251","2012-05-13 21:05:23","0","296","Why is there this read_fwf() error?","1","0","","user1234440","22559","Garrett","47175"
"10594515","2012-05-15 05:17:50","0","3626","Why isn't read_fwf() output correct content of files?","1","0","","user1234440","22559","",""
"10595327","2012-05-15 06:34:02","4","10830","Pandas: Sort pivot table","1","1","0","mrmagooey","4842","Wes McKinney","101627"
"10601041","2012-05-15 12:49:25","11","4841","Pandas: where's the memory leak here?","1","1","0","iron.arty","301","",""
"10671227","2012-05-20 06:14:57","0","535","Pandas FloatingPoint Error","1","4","","tshauck","20776","Karmel","3452"
"10705715","2012-05-22 16:00:59","0","372","averaging half-hourly data for weekdays only","1","1","","Ben Hussey","73","",""
"10706533","2012-05-22 16:54:49","0","1547","Error Installing Pandas using pip, Windows 7 64bit Python 3.2","1","0","","Reflux","2929","Wes McKinney","101627"
"10723847","2012-05-23 16:08:37","0","108","Print out inner series","1","7","","fred","9673","",""
"10767163","2012-05-26 14:41:22","1","1255","Python Pandas GroupBy equivalent of If A and not B where clause in SQL","1","0","0","pythOnometrist","6531","lbolla","5397"
"10771745","2012-05-27 04:53:45","0","1196","Removing duplicates from dataframe with index + row matching","1","2","0","dailyglen","705","dailyglen","705"
"10824906","2012-05-30 22:03:44","2","1045","How to create a dataframe from grouped data","1","0","0","user1427057","171","",""
"10839701","2012-05-31 19:04:59","10","6393","Time-weighted average with Pandas","1","0","0","user2303","1213","",""
"10841538","2012-05-31 21:28:05","4","5063","Pandas: List of Column names in a pivot table","1","0","0","Daniel Velazquez","45","",""
"10844493","2012-06-01 04:40:16","8","6326","DataFrame.apply in python pandas alters both original and duplicate DataFrames","1","0","0","MikeGruz","83","BrenBarn","243283"
"10908295","2012-06-06 04:46:19","5","3322","How to convert pandas dataframe so that index is the unique set of values and data is the count of each value?","1","0","0","dailyglen","705","Wes McKinney","101627"
